chamber_id,name,area_id
1,Diputación del Distrito Federal 1 de AGUASCALIENTES,4,
2,Diputación del Distrito Federal 1 de BAJA CALIFORNIA,9,
3,Diputación del Distrito Federal 1 de BAJA CALIFORNIA SUR,18,
4,Diputación del Distrito Federal 1 de CAMPECHE,36,
5,Diputación del Distrito Federal 1 de CHIAPAS,50,
6,Diputación del Distrito Federal 1 de CHIHUAHUA,23,
7,Diputación del Distrito Federal 1 de CIUDAD DE MÉXICO,80,
8,Diputación del Distrito Federal 1 de COAHUILA DE ZARAGOZA,41,
9,Diputación del Distrito Federal 1 de COLIMA,33,
10,Diputación del Distrito Federal 1 de DURANGO,105,
11,Diputación del Distrito Federal 1 de ESTADO DE MÉXICO,121,
12,Diputación del Distrito Federal 1 de GUANAJUATO,174,
13,Diputación del Distrito Federal 1 de GUERRERO,164,
14,Diputación del Distrito Federal 1 de HIDALGO,190,
15,Diputación del Distrito Federal 1 de JALISCO,198,
16,Diputación del Distrito Federal 1 de MICHOACÁN DE OCAMPO,220,
17,Diputación del Distrito Federal 1 de MORELOS,233,
18,Diputación del Distrito Federal 1 de NAYARIT,240,
19,Diputación del Distrito Federal 1 de NUEVO LEÓN,245,
20,Diputación del Distrito Federal 1 de OAXACA,258,
21,Diputación del Distrito Federal 1 de PUEBLA,269,
22,Diputación del Distrito Federal 1 de QUERÉTARO,291,
23,Diputación del Distrito Federal 1 de QUINTANA ROO,285,
24,Diputación del Distrito Federal 1 de SAN LUIS POTOSÍ,307,
25,Diputación del Distrito Federal 1 de SINALOA,298,
26,Diputación del Distrito Federal 1 de SONORA,316,
27,Diputación del Distrito Federal 1 de TABASCO,324,
28,Diputación del Distrito Federal 1 de TAMAULIPAS,335,
29,Diputación del Distrito Federal 1 de TLAXCALA,331,
30,Diputación del Distrito Federal 1 de VERACRUZ DE IGNACIO DE LA LLAVE,345,
31,Diputación del Distrito Federal 1 de YUCATÁN,366,
32,Diputación del Distrito Federal 1 de ZACATECAS,372,
